Country,Country Code,Continent,Region,Year,Emissions_Per_Capita,Emissions
Afghanistan,4,Asia,Southern Asia,2020,1.642,0.054
Afghanistan,4,Asia,Southern Asia,2020,1.607,0.047
Afghanistan,4,Asia,Southern Asia,2020,1.585,0.047
Afghanistan,4,Asia,Southern Asia,2020,1.599,0.043
Afghanistan,4,Asia,Southern Asia,2020,1.47,0.039
Afghanistan,4,Asia,Southern Asia,2020,1.363,0.047
Afghanistan,4,Asia,Southern Asia,2020,1.571,0.054
Afghanistan,4,Asia,Southern Asia,2020,1.438,0.054
Afghanistan,4,Asia,Southern Asia,2020,1.495,0.065
Afghanistan,4,Asia,Southern Asia,2020,1.603,0.068
Afghanistan,4,Asia,Southern Asia,2020,1.366,0.065
Afghanistan,4,Asia,Southern Asia,2020,1.427,0.065
Afghanistan,4,Asia,Southern Asia,2020,1.675,0.057
Afghanistan,4,Asia,Southern Asia,2020,1.65,0.054
Afghanistan,4,Asia,Southern Asia,2020,1.729,0.054
Afghanistan,4,Asia,Southern Asia,2020,1.65,0.047
Afghanistan,4,Asia,Southern Asia,2020,1.707,0.054
Afghanistan,4,Asia,Southern Asia,2020,2.048,0.072
Afghanistan,4,Asia,Southern Asia,2020,2.277,0.093
Afghanistan,4,Asia,Southern Asia,2020,2.302,0.097
Afghanistan,4,Asia,Southern Asia,2020,2.32,0.093
Afghanistan,4,Asia,Southern Asia,2020,2.356,0.09
Afghanistan,4,Asia,Southern Asia,2020,2.396,0.079
Afghanistan,4,Asia,Southern Asia,2020,2.496,0.082
Afghanistan,4,Asia,Southern Asia,2020,2.496,0.075
Afghanistan,4,Asia,Southern Asia,2020,2.399,0.068
Afghanistan,4,Asia,Southern Asia,2020,2.392,0.079
Afghanistan,4,Asia,Southern Asia,2020,2.299,0.075
Afghanistan,4,Asia,Southern Asia,2020,2.18,0.072
Afghanistan,4,Asia,Southern Asia,2020,2.36,0.093
Afghanistan,4,Asia,Southern Asia,2020,2.381,0.118
Afghanistan,4,Asia,Southern Asia,2020,2.636,0.118
Afghanistan,4,Asia,Southern Asia,2020,2.851,0.118
Afghanistan,4,Asia,Southern Asia,2020,3.084,0.133
Afghanistan,4,Asia,Southern Asia,2020,3.565,0.147
Afghanistan,4,Asia,Southern Asia,2020,3.593,0.176
Afghanistan,4,Asia,Southern Asia,2020,3.877,0.197
Afghanistan,4,Asia,Southern Asia,2020,3.966,0.186
Afghanistan,4,Asia,Southern Asia,2020,4.178,0.219
Afghanistan,4,Asia,Southern Asia,2020,4.454,0.23
Afghanistan,4,Asia,Southern Asia,2020,5.139,0.212
Afghanistan,4,Asia,Southern Asia,2020,5.286,0.237
Afghanistan,4,Asia,Southern Asia,2020,5.265,0.251
Afghanistan,4,Asia,Southern Asia,2020,5.257,0.251
Afghanistan,4,Asia,Southern Asia,2020,5.684,0.247
Afghanistan,4,Asia,Southern Asia,2020,5.917,0.265
Afghanistan,4,Asia,Southern Asia,2020,5.878,0.287
Afghanistan,4,Asia,Southern Asia,2020,5.336,0.312
Afghanistan,4,Asia,Southern Asia,2020,5.006,0.283
Afghanistan,4,Asia,Southern Asia,2020,5.247,0.276
Afghanistan,4,Asia,Southern Asia,2020,5.412,0.273
Afghanistan,4,Asia,Southern Asia,2020,5.415,0.283
Afghanistan,4,Asia,Southern Asia,2020,5.161,0.298
Afghanistan,4,Asia,Southern Asia,2020,5.343,0.348
Afghanistan,4,Asia,Southern Asia,2020,5.53,0.373
Afghanistan,4,Asia,Southern Asia,2020,5.555,0.384
Afghanistan,4,Asia,Southern Asia,2020,6.007,0.405
Afghanistan,4,Asia,Southern Asia,2020,6.046,0.402
Afghanistan,4,Asia,Southern Asia,2020,5.874,0.459
Afghanistan,4,Asia,Southern Asia,2020,5.914,0.405
Afghanistan,4,Asia,Southern Asia,2020,5.594,0.355
Afghanistan,4,Asia,Southern Asia,2020,5.361,0.351
Afghanistan,4,Asia,Southern Asia,2020,5.157,0.366
Afghanistan,4,Asia,Southern Asia,2020,4.701,0.341
Afghanistan,4,Asia,Southern Asia,2020,4.92,0.344
Afghanistan,4,Asia,Southern Asia,2020,4.834,0.262
Afghanistan,4,Asia,Southern Asia,2020,4.795,0.334
Afghanistan,4,Asia,Southern Asia,2020,4.974,0.344
Afghanistan,4,Asia,Southern Asia,2020,5.196,0.334
Afghanistan,4,Asia,Southern Asia,2020,5.845,0.316
Afghanistan,4,Asia,Southern Asia,2020,5.681,0.337
Afghanistan,4,Asia,Southern Asia,2020,5.039,0.369
Afghanistan,4,Asia,Southern Asia,2020,5.035,0.409
Afghanistan,4,Asia,Southern Asia,2020,4.902,0.373
Afghanistan,4,Asia,Southern Asia,2020,5.128,0.391
Afghanistan,4,Asia,Southern Asia,2020,4.996,0.369
Afghanistan,4,Asia,Southern Asia,2020,4.691,0.398
Afghanistan,4,Asia,Southern Asia,2020,4.705,0.373
Afghanistan,4,Asia,Southern Asia,2020,4.766,0.344
Afghanistan,4,Asia,Southern Asia,2020,4.515,0.334
Afghanistan,4,Asia,Southern Asia,2020,4.519,0.301
Afghanistan,4,Asia,Southern Asia,2020,3.489,0.226
Afghanistan,4,Asia,Southern Asia,2021,3.292,0.237
Afghanistan,4,Asia,Southern Asia,2021,2.948,0.226
Afghanistan,4,Asia,Southern Asia,2021,3.088,0.226
Afghanistan,4,Asia,Southern Asia,2021,3.235,0.215
Afghanistan,4,Asia,Southern Asia,2021,3.098,0.197
Afghanistan,4,Asia,Southern Asia,2021,2.779,0.197
Afghanistan,4,Asia,Southern Asia,2021,3.145,0.23
Afghanistan,4,Asia,Southern Asia,2021,2.937,0.201
Afghanistan,4,Asia,Southern Asia,2021,2.919,0.19
Afghanistan,4,Asia,Southern Asia,2021,2.797,0.201
Afghanistan,4,Asia,Southern Asia,2021,2.256,0.208
Afghanistan,4,Asia,Southern Asia,2021,2.055,0.23
Afghanistan,4,Asia,Southern Asia,2021,2.098,0.23
Afghanistan,4,Asia,Southern Asia,2021,2.037,0.219
Afghanistan,4,Asia,Southern Asia,2021,1.79,0.24
Afghanistan,4,Asia,Southern Asia,2021,1.929,0.258
